,index,importance
225,event_type_event_type 36,0.00033171494625552336
167,"Features_bin_(328.15, 330.145]",0.0003079184910015128
12,"Features_bin_(18.953, 20.948]",0.00029586322013826113
228,event_type_event_type 39,0.00028391398209049373
47,"Features_bin_(88.772, 90.767]",0.0002816654010527092
163,"Features_bin_(320.171, 322.166]",0.00027954076581494374
7,"Features_bin_(8.979, 10.974]",0.00026736710367840876
151,"Features_bin_(296.233, 298.228]",0.0002620340466070745
248,event_type_event_type 8,0.0002531889932239325
236,event_type_event_type 46,0.00024765114832797994
15,"Features_bin_(24.938, 26.933]",0.00024313333051845658
176,"Features_bin_(346.104, 348.098]",0.00024248013362155945
128,"Features_bin_(250.352, 252.347]",0.00024097480716494377
52,"Features_bin_(98.746, 100.741]",0.0002393468692670562
57,"Features_bin_(108.72, 110.715]",0.00021095309808665772
123,"Features_bin_(240.378, 242.373]",0.00019148556692245305
239,event_type_event_type 49,0.000178694338199575
83,"Features_bin_(160.585, 162.58]",0.00017216839299156743
53,"Features_bin_(100.741, 102.736]",0.00016922625465192858
121,"Features_bin_(236.389, 238.383]",0.0001649457275722188
150,"Features_bin_(294.238, 296.233]",0.00015512070825373373
145,"Features_bin_(284.264, 286.259]",0.00014347258132058754
237,event_type_event_type 47,0.00013008133203050012
217,event_type_event_type 29,0.00011263248827893987
260,resource_type_resource_type 9,9.708461667710564e-05
90,"Features_bin_(174.549, 176.544]",8.341944287485453e-05
63,"Features_bin_(120.689, 122.684]",8.219621564733149e-05
177,"Features_bin_(348.098, 350.093]",8.118177455022603e-05
50,"Features_bin_(94.756, 96.751]",6.903067780860232e-05
244,event_type_event_type 53,5.957713670312227e-05
173,"Features_bin_(340.119, 342.114]",5.4523678280435974e-05
124,"Features_bin_(242.373, 244.368]",5.021469245041332e-05
264,severity_type_severity_type 3,4.663044338972646e-05
11,"Features_bin_(16.959, 18.953]",3.452925367624295e-05
75,"Features_bin_(144.627, 146.622]",3.2905517228231454e-05
125,"Features_bin_(244.368, 246.363]",2.88387269127057e-05
60,"Features_bin_(114.705, 116.699]",2.854889031919227e-05
41,"Features_bin_(76.803, 78.798]",2.02319476258985e-05
136,"Features_bin_(266.311, 268.306]",1.7548863803468172e-05
19,"Features_bin_(32.917, 34.912]",1.4418563690631036e-05
48,"Features_bin_(90.767, 92.762]",8.780904648983476e-06
9,"Features_bin_(12.969, 14.964]",2.4563618695062775e-06
192,"Features_bin_(378.021, 380.016]",1.2897573250218693e-06
242,event_type_event_type 51,4.097929642960207e-07
110,"Features_bin_(214.446, 216.44]",2.7315312939412357e-10
